t,p,o,c,h,l,v
1525989600,,52.2,62,63,51.11,200776
1526248800,,68,66.7,74.8,65.3,240228
1526335200,,66.6,62,66.6,58.28,93961
1526421600,,63.5,63.67,63.9,60.01,34008
1526508000,,63.87,59,63.9,59,24068
1526594400,,59,59,62,58.3,13064
1526853600,,60.01,60.8,63,60.01,20336
1526940000,,62.5,61.86,62.6,61,7585
1527026400,,62,61,62,58.8,12179
1527112800,,61,60.99,61,59.81,5568
1527199200,,61,60.51,61,59.5,5895
1527458400,,60.8,64,64,60.02,36433
1527544800,,70,67.38,72.7,66.1,90589
1527631200,,64.98,62.5,66.8,61.3,32286
1527804000,,62.5,64,65,61.7,6391
1528063200,,65,69.7,69.9,64.5,19889
1528149600,,71.51,77.99,77.99,71.01,73460
1528236000,,79.75,79.3,87.7,77.3,98372
1528322400,,81.4,83,84,77.01,22012
1528408800,,82.49,82.85,83.99,80.5,15852
1528668000,,84.5,79.39,84.8,75.55,28792
1528754400,,79.35,80.39,82,79.35,7977
1528840800,,80.85,79.27,81,78.51,5633
1528927200,,78,82.5,83,76.1,21032
1529013600,,82.7,82,82.8,80.7,12764
1529272800,,81.9,80.87,81.9,80,6083
1529359200,,80.1,78.5,80.1,76.4,11137
1529445600,,78,76.99,78.9,74.2,12192
1529532000,,76.99,73,78.18,71.5,15736
1529618400,,72.5,72.99,74,72.5,6517
1529877600,,73.25,77.67,79.99,71.6,10809
1529964000,,77.8,76.99,78.9,75.02,7010
1530050400,,76.2,75.15,77.1,74.63,6048
1530136800,,74.65,76.98,77,74.51,7063
1530223200,,75.17,76,76.97,75.16,12550
1530482400,,76,78,78.1,76,18750
1530568800,,78,77.4,78,76.56,3427
1530655200,,77.85,77.5,79.85,77,9562
1530741600,,77.6,80.5,81.5,77.21,32503
1530828000,,81,80.04,82,80.02,7195
1531087200,,80.89,79.8,80.99,78.55,4288
1531173600,,80.04,85.6,88.7,79.6,64079
1531260000,,87,85.5,87,85,8023
1531346400,,86.2,85.77,86.99,82,6005
1531432800,,85.9,85.5,86.8,84.99,5591
1531692000,,86.4,85.51,86.99,85.3,3658
1531778400,,85.53,84.7,85.53,83.05,7052
1531864800,,84.97,83.5,84.99,82.61,7521
1531951200,,83.5,83,84.49,81.71,5378
1532037600,,84,84.39,86.8,83,13408
1532296800,,85.39,86.53,86.53,84.5,7247
1532383200,,87,87.25,87.95,83.01,16570
1532469600,,88,95,96.8,87,28927
1532556000,,95.5,99,99.99,95.5,28764
1532642400,,99.5,105.9,107,96.3,41903
1532901600,,110,105.5,116.4,104.2,73345
1532988000,,105,102,111,100.9,29285
1533074400,,102.5,102.58,104.78,101.06,17317
1533160800,,103.3,102.8,104.2,102.6,10339
1533247200,,103,101.5,104,101.5,6729
1533506400,,103,99.5,103.48,97.52,16852
1533592800,,100,99.8,102.86,97.3,15623
1533679200,,100.9,106.78,106.78,99.5,62010
1533765600,,109.2,114,114,106.12,31786
1533852000,,114.2,113.5,114.2,110,12278
1534111200,,112.9,117,118.48,110.1,22003
1534197600,,117,122.5,122.98,116,22175
1534370400,,124.88,125.5,127.6,117.6,20068
1534456800,,126,123,127.4,120.52,20351
1534716000,,124,120.5,128.2,120,17328
1534802400,,122.8,121,123,118.02,10817
1534888800,,122,119.12,124,118.5,9756
1534975200,,121,116.9,121,116.02,13107
1535061600,,120.9,118,120.9,117.24,9105
1535320800,,119,120,124.5,118.8,27381
1535407200,,117.5,105.76,123,105.76,69880
1535493600,,105.74,110,115,95.17,71548
1535580000,,112.8,107,112.8,105,12048
1535666400,,106,101.3,106,98,24747
1535925600,,100.02,85,101,85,62973
1536012000,,83.1,89.78,91.41,81.2,60053
1536098400,,89.6,91.5,96.8,89.6,34403
1536184800,,89.9,88.5,90.5,86,23814
1536271200,,87,88.5,92.8,87,26146
1536530400,,87.02,93,93.45,84,23058
1536616800,,95,87.4,95,87,15014
1536703200,,90.2,86.02,91,85.5,13967
1536789600,,88.96,88.73,88.96,87,4052
1536876000,,89,89.7,89.8,88,5563
1537135200,,89.6,102.5,102.5,89.6,23094
1537221600,,103,102,110,102,23309
1537308000,,101.5,96.5,105,96.1,20403
1537394400,,96.51,98.4,98.98,96.5,3080
1537480800,,99,100,101.9,98.5,4984
1537740000,,100,93,101,93,16414
1537826400,,94.1,97.65,97.99,94.1,6921
1537912800,,97.8,96.98,101.6,96.1,11665
1537999200,,97.8,98,100.5,97.8,6774
1538085600,,99,97,100.96,95.1,9192
1538344800,,97,94.32,99.38,93.6,4963
1538431200,,93.1,92.5,94.92,91.5,8208
1538517600,,92.99,94.4,94.55,88.8,22848
1538604000,,95,92,95.05,90.11,11075
1538690400,,90.4,94.6,98.99,90.4,17779
1538949600,,94.58,91.1,97,89.23,7519
1539036000,,90.1,90.6,91.69,88.6,6016
1539122400,,90.5,86.4,90.5,85,11711
1539208800,,82.1,79.7,83.88,76,43779
1539295200,,81,83.79,83.95,77.5,17507
1539554400,,85,82.85,85.3,81.3,17877
1539640800,,83,83,83.8,80.7,8475
1539727200,,83,80.5,83.82,80.1,11449
1539813600,,80.2,79.1,82,78.2,13884
1539900000,,78.4,78.61,79.5,77.3,11633
1540159200,,78,76.5,78,71,31699
1540245600,,74,73.01,74,69,31231
1540332000,,71.21,74.52,76.9,71.21,18022
1540418400,,70.61,70.75,72,68.42,40131
1540504800,,71,71.01,74.1,71,20413
1540767600,,71.02,72.45,72.9,71.02,7354
1540854000,,72,72.5,72.6,71.53,4775
1540940400,,73.15,75.4,77,73.15,10964
1541113200,,77,81,82,77,13766
1541372400,,82.02,92,94.88,82.01,46033
1541458800,,93.9,94.9,98.5,90.51,24119
1541545200,,96.5,88.33,97.6,87.2,17834
1541631600,,88.45,88.15,92,87.12,11983
1541718000,,87,85.7,87,82.5,16374
1542063600,,83,82.5,83,81,12892
1542150000,,81.5,87.35,87.6,81.01,4752
1542236400,,88,86.5,88.99,85,4661
1542322800,,86.3,82.5,87.5,81.26,11480
1542582000,,83.5,81.61,84.94,77.6,8783
1542668400,,81,78.05,82.88,77.8,10529
1542754800,,76.9,75.6,77,73.8,29694
1542841200,,76.6,84.01,84.01,75.5,17971
1542927600,,86,83.3,87.5,83.3,10886
1543186800,,83.2,84.5,85.8,83,5741
1543273200,,84.5,84,85,83,2641
1543359600,,84.4,86,86.9,84.4,9936
1543446000,,86.8,88.4,89,86.8,11026
1543532400,,88,88,89.2,87.5,5267
1543791600,,88.2,83.02,89.8,81.02,19939
1543878000,,84.3,82.6,84.3,80.3,8489
1543964400,,81.48,81,81.7,79.4,10827
1544050800,,80,78,80,77.4,18116
1544137200,,78.97,79.99,82.3,78.97,10173
1544396400,,78,77,79,77,8577
1544482800,,78,78,78.5,76.25,5608
1544569200,,78,78,78.69,76.76,4932
1544655600,,79,83.1,85.5,78,28620
1544742000,,83.1,81.4,84.2,80.35,4794
1545001200,,81.39,80.25,82,79,7303
1545087600,,80,78.8,80,78,3353
1545174000,,79,80.05,81.2,78.22,6404
1545260400,,78.8,78.12,79.5,78,5385
1545346800,,78.35,74.2,79.2,73.2,17354
1545865200,,75.5,77.2,77.2,75,8424
1545951600,,77.5,80,80,75.5,9728
1546383600,,79,78.61,79.99,78.16,9801
1546470000,,78.49,77.11,78.61,77.1,3823
1546556400,,77.02,82.5,82.76,77.02,11159
1546815600,,83.1,83.4,84.4,81.81,11437
1546902000,,88,90,91.93,87,42267
1546988400,,90.02,91,91,87.55,14555
1547074800,,90.8,89,90.8,88.3,6253
1547161200,,88.99,89,91.48,88.1,10845
1547420400,,89.8,88.99,90.59,86.6,6375
1547506800,,88.01,91.1,91.5,87.71,7752
1547593200,,91.5,94,94.4,91.5,17795
1547679600,,94.5,92.9,94.69,92,9441
1547766000,,93.3,91.7,93.75,91.5,6266
1548025200,,92,91.65,92,91.05,2069
1548111600,,91,89.6,91,88,4265
1548198000,,90,93.31,94.9,90,14034
1548284400,,93,91.5,93,91.3,3641
1548370800,,91.5,88.4,93.88,85.1,11317
1548630000,,88.4,88.34,89.9,87.5,3976
1548716400,,87.66,88.5,90,87.66,1894
1548802800,,88.5,87.51,89.04,87,4546
1548889200,,88.5,86.6,88.5,86,4102
1548975600,,86.71,86.6,87.7,86,3138
1549234800,,87,89.9,91.2,87,11170
1549321200,,91,89.6,91,89.16,4938
1549407600,,90,88,90.9,87.1,10853
1549494000,,88.26,85,88.5,84,19167
1549580400,,83.5,82.8,84.1,82.62,11201
1549839600,,80.12,82.1,83.3,80.01,15216
1549926000,,82.3,84.21,85.5,82.3,8463
1550012400,,83.7,84.4,85.83,83.7,2130
1550098800,,85.2,84.39,85.2,83,2843
1550185200,,83.5,84,84.5,83,2271
1550444400,,84.21,86,86.7,84.21,3651
1550530800,,86.5,84.91,86.5,84.71,3074
1550617200,,84.9,86.4,86.5,84.2,3814
1550703600,,86.8,87.77,88,86,4856
1550790000,,87.77,88.4,88.4,87.3,5528
1551049200,,88.45,89,89.6,88,10352
1551135600,,89,88.95,89.2,88,2795
1551222000,,88.6,88.54,89.2,88,8652
